Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm)
117067,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,42500,247,8,7,1000
117574,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2944,628,8,7,1000
118084,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3357,691,8,7,1000
118596,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3298,568,8,7,1000
119103,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,637,8,7,1000
119610,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3134,581,8,7,1000
0,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,5219,332,8,7,2000
474,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4148,656,8,7,2000
1012,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3325,703,8,6,2000
1515,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4302,673,8,6,2000
2013,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4079,623,8,7,2000
2524,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4145,657,8,7,2000
3032,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4323,652,8,7,2000
3545,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4419,700,8,7,2000
4056,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4272,454,8,7,2000
4556,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4292,780,8,7,2000
5069,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4206,572,8,7,2000
5572,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4043,731,8,7,2000
6078,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4401,702,8,7,2000
6586,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3984,517,8,7,2000
7097,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4111,499,8,7,2000
7603,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3955,673,8,7,2000
8109,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4321,595,8,6,2000
8619,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4094,450,8,7,2000
9121,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4101,651,8,7,2000
9628,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4431,670,8,7,2000
10137,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4057,549,8,7,2000
10645,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3889,422,8,7,2000
