Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm),Orientation
15491,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2597,691,8,7,500,1
15615,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2612,173,8,7,500,1
15724,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2883,750,8,7,500,1
15844,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2153,131,8,7,500,1
15959,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2490,464,8,7,500,1
16074,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2304,463,8,7,500,1
16184,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2209,386,8,7,500,1
16290,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2085,87,8,7,500,1
16412,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2116,389,8,7,500,1
16531,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1733,187,8,7,500,1
16651,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2641,105,8,7,500,1
16766,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2248,397,8,7,500,1
16891,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2402,714,8,7,500,1
17027,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1840,288,8,7,500,1
17153,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2707,672,8,7,500,1
17274,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2714,598,8,7,500,1
17392,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2495,108,8,7,500,1
17529,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2817,502,8,7,500,1
17656,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2485,1215,8,7,500,1
17771,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2436,446,8,7,500,1
17889,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2202,153,8,7,500,1
18009,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2709,681,8,7,500,1
18129,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2465,228,8,7,500,1
18261,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2656,567,8,7,500,1
18396,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2085,514,8,7,500,1
18529,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2780,661,8,7,500,1
18661,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2436,701,8,7,500,1
18774,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2248,556,8,7,500,1
18896,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2387,569,8,7,500,1
19025,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2297,501,8,7,500,1
19137,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2231,156,8,7,500,1
19260,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2329,87,8,7,500,1
19374,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2583,653,8,7,500,1
19492,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1909,227,8,7,500,1
19613,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2612,671,8,7,500,1
19728,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2446,264,8,7,500,1
19851,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2692,567,8,7,500,1
0,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1811,1163,8,7,500,2
61,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1996,330,8,7,500,2
182,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2456,147,8,7,500,2
284,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3247,311,8,7,500,2
386,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3208,312,8,7,500,2
489,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2885,346,8,7,500,2
594,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3286,897,8,7,500,2
699,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2543,987,8,7,500,2
809,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2202,316,8,7,500,2
926,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3044,1200,8,7,500,2
1044,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1499,513,8,7,500,2
1164,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3159,920,8,7,500,2
1289,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2612,135,8,7,500,2
1410,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2758,1098,8,7,500,2
1533,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3168,174,8,7,500,2
1650,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2280,223,8,7,500,2
1760,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2807,141,8,7,500,2
1883,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2802,43,8,7,500,2
1996,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2505,169,8,7,500,2
2112,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2973,779,8,7,500,2
2236,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2524,137,8,7,500,2
2354,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2934,670,8,7,500,2
2464,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3227,836,8,7,500,2
2578,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2221,245,8,7,500,2
2703,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2158,219,8,7,500,2
2814,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3383,227,8,7,500,2
2933,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1928,217,8,7,500,2
3052,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2524,441,8,7,500,2
3173,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2973,218,8,7,500,2
3290,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2719,240,8,7,500,2
3412,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2573,408,8,7,500,2
3526,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2167,220,8,7,500,2
3636,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2456,936,8,7,500,2
3762,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2426,222,8,7,500,2
3878,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2563,199,8,7,500,2
3991,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2114,0,8,7,500,2
4126,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1557,0,8,3,500,2
4267,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2319,828,8,7,500,2
4415,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3564,131,8,5,500,2
4514,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2929,713,8,7,500,2
4599,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3305,205,8,7,500,2
4737,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2788,118,8,7,500,2
4853,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2480,104,8,7,500,2
4940,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2026,143,8,7,500,2
5091,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2202,544,8,7,500,2
5244,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2524,709,8,7,500,2
5401,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2466,389,8,7,500,2
5558,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1743,109,8,7,500,2
5719,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3012,744,8,7,500,2
5874,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2729,293,8,7,500,2
6032,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2641,229,8,7,500,2
6192,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1880,110,8,7,500,2
6342,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2583,744,8,7,500,2
6499,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2612,276,8,7,500,2
6661,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2026,275,8,7,500,2
6810,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2304,529,8,7,500,2
6968,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2019,444,8,7,500,2
7128,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2436,628,8,7,500,2
7268,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2221,222,8,7,500,2
